origin;destination;airline;departure;arrival;price;duration
KIN-Jamaica;MEL-Austrália;LATAM Airlines;2022-04-15T19:00-01:00;2022-04-16T13:00-05:00;2044.00;22
JFK-Estados Unidos;NRT-Japão;Emirates;2022-04-12T18:00+06:00;2022-04-13T14:00+03:00;4516.00;23
GRU-Brasil;LIS-Portugal;AirFrance;2022-04-30T23:00-05:00;2022-05-01T16:00+08:00;2888.00;4
MEX-México;NRT-Japão;AirCanada;2022-04-24T01:00-01:00;2022-04-24T19:00+07:00;3770.00;10
JFK-Estados Unidos;YYC-Canada;Qatar Airways;2022-04-21T12:00+07:00;2022-04-21T10:00+04:00;2252.00;1
JFK-Estados Unidos;YYC-Canada;Gol Airlines;2022-04-08T23:00-09:00;2022-04-09T14:00-02:00;2004.00;8
FEN-Brasil;MEL-Austrália;AirFrance;2022-04-06T00:00+11:00;2022-04-06T02:00+07:00;3859.00;6
NRT-Japão;MEL-Austrália;Emirates;2022-04-06T14:00-03:00;2022-04-07T05:00+02:00;4572.00;10
MEX-México;LIS-Portugal;Qatar Airways;2022-04-09T02:00+01:00;2022-04-09T05:00-04:00;3951.00;8
NRT-Japão;KIN-Jamaica;Qatar Airways;2022-04-26T16:00-01:00;2022-04-27T00:00+04:00;4942.00;3
MEX-México;MEL-Austrália;AirCanada;2022-04-22T04:00-10:00;2022-04-22T21:00-12:00;2231.00;19
PEK-China;KIN-Jamaica;AirCanada;2022-04-30T06:00-11:00;2022-04-30T09:00-09:00;2697.00;1
GRU-Brasil;FEN-Brasil;Qatar Airways;2022-04-23T04:00+12:00;2022-04-23T04:00-03:00;4238.00;15
MEL-Austrália;LIS-Portugal;Qatar Airways;2022-04-16T02:00-04:00;2022-04-17T01:00+03:00;2795.00;16
MEX-México;MEL-Austrália;Emirates;2022-04-12T18:00-02:00;2022-04-12T16:00-06:00;3914.00;2
JFK-Estados Unidos;MEX-México;United Airlines;2022-04-29T11:00-09:00;2022-04-30T06:00-06:00;4712.00;16
PEK-China;MEL-Austrália;Ethiopian Airlines;2022-04-10T23:00-05:00;2022-04-11T19:00-07:00;4503.00;22
JFK-Estados Unidos;PEK-China;Qatar Airways;2022-04-13T00:00+11:00;2022-04-13T07:00-02:00;4737.00;20
MEX-México;KIN-Jamaica;Lufthansa;2022-04-22T08:00+12:00;2022-04-22T10:00+05:00;4461.00;9
FEN-Brasil;YYC-Canada;Emirates;2022-04-20T20:00+03:00;2022-04-21T11:00+10:00;3564.00;8
KIN-Jamaica;MEL-Austrália;Lufthansa;2022-04-04T20:00Z;2022-04-05T02:00-12:00;4815.00;18
NRT-Japão;LIS-Portugal;AirFrance;2022-04-22T01:00-09:00;2022-04-22T19:00-10:00;2040.00;19
GRU-Brasil;YYC-Canada;AirCanada;2022-04-21T16:00-04:00;2022-04-22T09:00-01:00;4944.00;14
JFK-Estados Unidos;YYC-Canada;Lufthansa;2022-04-04T04:00+05:00;2022-04-04T10:00-07:00;2355.00;18
MEX-México;PEK-China;Lufthansa;2022-04-20T04:00-07:00;2022-04-20T18:00-06:00;4290.00;13
MEL-Austrália;LIS-Portugal;LATAM Airlines;2022-04-15T19:00-10:00;2022-04-16T18:00+12:00;2707.00;1
JFK-Estados Unidos;KIN-Jamaica;Gol Airlines;2022-04-09T23:00+09:00;2022-04-09T14:00-06:00;2943.00;6
PEK-China;LIS-Portugal;Qatar Airways;2022-04-12T14:00-02:00;2022-04-14T02:00+12:00;2559.00;22
MEX-México;LIS-Portugal;LATAM Airlines;2022-04-14T12:00-09:00;2022-04-15T15:00+01:00;2217.00;17
JFK-Estados Unidos;PEK-China;Emirates;2022-04-30T04:00-06:00;2022-04-30T22:00+01:00;4967.00;11
GRU-Brasil;MEL-Austrália;Emirates;2022-04-03T10:00-02:00;2022-04-03T02:00-11:00;2464.00;1
JFK-Estados Unidos;NRT-Japão;Lufthansa;2022-04-20T04:00+02:00;2022-04-21T01:00+07:00;3996.00;16
KIN-Jamaica;FEN-Brasil;AirFrance;2022-04-26T14:00-01:00;2022-04-27T05:00-03:00;4680.00;17
JFK-Estados Unidos;LIS-Portugal;Lufthansa;2022-04-27T19:00-06:00;2022-04-28T17:00-07:00;2311.00;23
JFK-Estados Unidos;LIS-Portugal;AirCanada;2022-04-06T01:00-07:00;2022-04-07T02:00-04:00;3029.00;22
JFK-Estados Unidos;GRU-Brasil;American Airlines;2022-04-01T17:00-01:00;2022-04-02T15:00-02:00;4067.00;23
PEK-China;MEL-Austrália;Qatar Airways;2022-04-09T18:00-05:00;2022-04-10T19:00+09:00;3377.00;11
JFK-Estados Unidos;MEX-México;LATAM Airlines;2022-04-20T06:00-05:00;2022-04-20T20:00-04:00;4084.00;13
GRU-Brasil;LIS-Portugal;AirCanada;2022-04-20T08:00-12:00;2022-04-21T09:00+04:00;2323.00;9
JFK-Estados Unidos;FEN-Brasil;AirCanada;2022-04-16T19:00Z;2022-04-17T16:00Z;4685.00;21
NRT-Japão;YYC-Canada;AirFrance;2022-04-08T08:00+05:00;2022-04-08T17:00-01:00;4414.00;15
PEK-China;LIS-Portugal;Lufthansa;2022-04-26T22:00+02:00;2022-04-27T17:00+10:00;4537.00;11
MEX-México;NRT-Japão;Lufthansa;2022-04-03T19:00+03:00;2022-04-03T11:00-09:00;4679.00;4
FEN-Brasil;YYC-Canada;AirCanada;2022-04-19T10:00+02:00;2022-04-20T03:00+06:00;4008.00;13
YYC-Canada;MEL-Austrália;Ethiopian Airlines;2022-04-24T19:00+11:00;2022-04-24T01:00-12:00;4302.00;5
KIN-Jamaica;FEN-Brasil;Gol Airlines;2022-04-01T05:00+03:00;2022-04-02T06:00+05:00;2286.00;23
PEK-China;FEN-Brasil;LATAM Airlines;2022-04-14T17:00-05:00;2022-04-15T03:00+03:00;3849.00;2
MEX-México;YYC-Canada;Ethiopian Airlines;2022-04-05T20:00Z;2022-04-05T10:00-12:00;2925.00;2
NRT-Japão;KIN-Jamaica;Emirates;2022-04-12T11:00+01:00;2022-04-13T08:00-02:00;4274.00;24
KIN-Jamaica;MEL-Austrália;AirCanada;2022-04-23T04:00-03:00;2022-04-24T03:00+01:00;3592.00;19
NRT-Japão;KIN-Jamaica;American Airlines;2022-04-24T19:00+09:00;2022-04-24T23:00+09:00;4269.00;4
PEK-China;YYC-Canada;AirCanada;2022-04-20T07:00-08:00;2022-04-20T11:00-07:00;3822.00;3
JFK-Estados Unidos;FEN-Brasil;United Airlines;2022-04-11T01:00+08:00;2022-04-11T07:00+02:00;3181.00;12
NRT-Japão;LIS-Portugal;United Airlines;2022-04-12T02:00-02:00;2022-04-12T02:00-07:00;3768.00;5
KIN-Jamaica;YYC-Canada;Ethiopian Airlines;2022-04-24T19:00-03:00;2022-04-25T12:00-07:00;3693.00;21
JFK-Estados Unidos;FEN-Brasil;Lufthansa;2022-04-07T22:00-02:00;2022-04-09T11:00+11:00;3010.00;24
KIN-Jamaica;FEN-Brasil;Ethiopian Airlines;2022-04-29T02:00-12:00;2022-04-29T16:00+01:00;2718.00;1
JFK-Estados Unidos;MEL-Austrália;Ethiopian Airlines;2022-04-19T16:00+06:00;2022-04-19T21:00-01:00;2981.00;12
MEX-México;PEK-China;LATAM Airlines;2022-04-06T09:00+09:00;2022-04-06T17:00+04:00;2974.00;13
NRT-Japão;LIS-Portugal;AirCanada;2022-04-23T14:00+05:00;2022-04-23T15:00-10:00;3302.00;16
FEN-Brasil;YYC-Canada;Gol Airlines;2022-04-11T06:00-11:00;2022-04-12T00:00Z;2286.00;7
GRU-Brasil;LIS-Portugal;American Airlines;2022-04-28T23:00-05:00;2022-04-30T06:00+04:00;3334.00;22
NRT-Japão;PEK-China;Emirates;2022-04-24T09:00-03:00;2022-04-24T21:00Z;3745.00;9
YYC-Canada;MEL-Austrália;AirFrance;2022-04-04T12:00-11:00;2022-04-05T20:00-03:00;4848.00;24
NRT-Japão;YYC-Canada;Emirates;2022-04-19T13:00-07:00;2022-04-19T12:00-12:00;4390.00;4
JFK-Estados Unidos;PEK-China;American Airlines;2022-04-14T04:00-02:00;2022-04-15T03:00+01:00;2575.00;20
PEK-China;LIS-Portugal;AirCanada;2022-04-01T00:00-08:00;2022-04-02T01:00+04:00;3967.00;13
MEX-México;FEN-Brasil;LATAM Airlines;2022-04-08T11:00+03:00;2022-04-08T21:00-08:00;3620.00;21
GRU-Brasil;YYC-Canada;Ethiopian Airlines;2022-04-23T11:00Z;2022-04-24T02:00-01:00;4971.00;16
MEX-México;NRT-Japão;Gol Airlines;2022-04-19T15:00-09:00;2022-04-19T19:00-06:00;2983.00;1
GRU-Brasil;MEL-Austrália;Qatar Airways;2022-04-19T13:00Z;2022-04-20T11:00+09:00;4587.00;13
PEK-China;GRU-Brasil;Ethiopian Airlines;2022-04-21T15:00+10:00;2022-04-21T17:00-10:00;4168.00;22
FEN-Brasil;YYC-Canada;Ethiopian Airlines;2022-04-18T12:00+12:00;2022-04-18T15:00+12:00;3213.00;3
GRU-Brasil;FEN-Brasil;Ethiopian Airlines;2022-04-02T12:00-07:00;2022-04-02T12:00-11:00;3698.00;4
PEK-China;MEL-Austrália;AirFrance;2022-04-30T11:00-03:00;2022-05-01T06:00Z;2516.00;16
MEX-México;GRU-Brasil;United Airlines;2022-04-05T19:00-11:00;2022-04-06T06:00-10:00;4667.00;10
KIN-Jamaica;LIS-Portugal;Ethiopian Airlines;2022-04-10T14:00-08:00;2022-04-11T14:00-02:00;2857.00;18
JFK-Estados Unidos;KIN-Jamaica;Ethiopian Airlines;2022-04-24T02:00-12:00;2022-04-24T15:00-06:00;4631.00;7
PEK-China;LIS-Portugal;Emirates;2022-04-04T07:00+08:00;2022-04-04T06:00-03:00;2525.00;10
PEK-China;FEN-Brasil;Emirates;2022-04-22T19:00-12:00;2022-04-24T07:00+12:00;3089.00;12
FEN-Brasil;MEL-Austrália;Ethiopian Airlines;2022-04-01T13:00+07:00;2022-04-02T00:00+06:00;3201.00;12
KIN-Jamaica;LIS-Portugal;Qatar Airways;2022-04-24T11:00-01:00;2022-04-24T13:00-06:00;4074.00;7
NRT-Japão;GRU-Brasil;United Airlines;2022-04-03T00:00-06:00;2022-04-03T20:00+07:00;3697.00;7
FEN-Brasil;MEL-Austrália;Qatar Airways;2022-04-09T00:00-08:00;2022-04-09T19:00+08:00;4455.00;3
KIN-Jamaica;YYC-Canada;Lufthansa;2022-04-19T07:00-05:00;2022-04-20T07:00-01:00;3757.00;20
